Head,Date,Url
[전체] [학사운영팀] 2026학년도 제1학기(2026-2 진입)  전공선택 신청 안내,2026-04-30,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=765363&srCampus=smu&article.offset=0&articleLimit=10
[컴과] [공지] 2026학년도 제1학기 중간 강의평가 시행,2026-04-14,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=764791&article.offset=0&articleLimit=10
"[컴과] [필독] 2026학년도 1학기 연구활동종사자 ""정기"" 교육 안내",2026-04-09,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=764728&article.offset=0&articleLimit=10
[컴과] [공지] 2026학년도 1학기 컴퓨터과학전공 학부연구실(G302호) 운영 및 신청 안내,2026-03-23,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=764220&article.offset=0&articleLimit=10
"[전체] [취업진로지원팀] 2026학년도 온라인 취업지원서비스(잡플래닛, 에듀스, 코멘토) 이용 안내",2026-03-04,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=763529&srCampus=smu&article.offset=0&articleLimit=10
[컴과] [공지] 2026학년도 제1학기 이수구분 정정 신청 안내 (*8월 졸업예정자 필독),2026-03-02,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=763463&article.offset=0&articleLimit=10
[컴과] [수업] 전자출결시스템(헤이영캠퍼스) 사용 및 출결관리 유의 사항 안내,2026-03-02,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=763462&article.offset=0&articleLimit=10
"[전체] [취업진로지원팀] 청년 어학, 자격시험 응시료 지원사업 안내",2026-02-25,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=763309&srCampus=smu&article.offset=0&articleLimit=10
[전체] [취업진로지원팀] 상명대 대학일자리플러스센터 및 졸업생특화프로그램 리플렛,2025-09-01,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=758963&srCampus=smu&article.offset=0&articleLimit=10
"[컴과] [안내] 컴퓨터과학전공 역량 (교과목별 비율, 확인방법 포함)",2024-05-03,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=746469&article.offset=0&articleLimit=10
[컴과] 💫💫상명대학교 교내 학생 참여 프로그램 및 장학금 모음💫💫  (25.09.19. 업데이트),2024-03-21,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=745222&article.offset=0&articleLimit=10
[컴과] [공지] 실습실 등 철야신청 방법 관련 안내,2024-01-11,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=742696&article.offset=0&articleLimit=10
